id,text,label
813,"Campbell to extend sprint career

Darren Campbell has set his sights on running quicker than ever after deciding not to retire from sprinting.

Campbell, who won Olympic 4x100m relay gold, had been unsure about his future. But he told Five Live's Sportsweek: ""I had to get back into training before I could decide because if I didn't have the same hunger I'd have to walk away. ""I've started back and I'm thoroughly enjoying it. I'm looking forward to it. I've got to run under 10 seconds (for 100m) and under 20 seconds (for 200m)."" Campbell was part of the British quartet who shocked the Americans to win relay gold in Athens in August.

The Newport-based athlete and team-mates Jason Gardener, Marlon Devonish and Mark Lewis-Francis were rewarded with MBEs in the New Year Honours List. Campbell's relay triumph made up for his disappointing displays in the individual 100m and 200m events in Athens, when he failed to reach the finals. The 31-year-old, who won Olympic 200m silver in Sydney in 2000, said during the Games that a hamstring injury had stopped him from running at his best.

He was criticised at the time by former Olympic champion Michael Johnson, who cast doubt on Campbell's injury claims. ""To go to Athens and finally get the gold I've been trying to get for 24 years was a big relief,"" said Campbell. ""It was a chance for me to prove that if I'd been fit I would have been challenging for the (individual) medals. ""Every season I go and challenge for the medals so why would last season have been any different? ""It's just unfortunate that I picked up that injury just before the Olympics."" Campbell set his 100m personal best of 10.04secs when he won the European title in Budapest in 1998. And he ran 20.13secs in the quarter-finals of the 200m in Sydney on the way to Olympic silver.
",9
844,"Gardener battles to narrow win

Jason Gardener fought all the way to the line to narrowly claim the men's 60m title at the Norwich Union Indoor trials and AAAs Championships.

The world 60m champion got off to a rolling start and had to dig deep to dip ahead of Mark Findlay and Darren Chin, who both set personal bests. ""It was a close race,"" admitted Gardener. ""I stumbled out the blocks but my experience told through. ""I still feel there's more life in me and I believe I can go faster."" Gardener's performance in Sheffield could have been affected by the news, which he heard before his semi-final, that his European record had been broken Frenchman Ronald Pognon, who will be a real threat at the European Championships, set a new time of 6.45, one-hundreth of a second faster than Gardener's previous mark. Favourite

delivered a powerful performance to take the women's 60m title in 7.27 seconds. ""You'll see me in Madrid and I feel there is a lot more to come along,"" said the 22-year-old. Katherine Endacott battled hard to take second and dip under the European qualifying mark. Defending champion Joice Maduaka had pulled out of the final with a chest infection.

was on record-breaking form as she stormed to the women's 60m hurdles crown. The 25-year-old set a new British record for the second time in seven days, clocking 7.96 seconds to finish ahead of rival Diane Allahgreen. ""I'm so happy,"" a tearful Claxton told BBC Sport. ""All the years I've been running and I'm getting recognition."" Claxton's time was also good enough to qualify for the European Championships.

The men's 800m went to form in Sheffield as

dominated the race from start to finish. The Northern Ireland athlete went off at a startling pace but had to hold off the challenge of Welshman Jimmy Watkins over the final 200m to win in one minute, 47.96 seconds. Both McIlory and Watkins, who set a life-time best of 1:48.32, had already booked their places in Madrid and were again well within the qualifying time. ""I had to go out and go through all the gears before the Europeans and I won't run again until then,"" said McIlroy.

could not reach the European mark in the women's race as she crossed the line to win in 2:04.45. Olympic bronze heptathlon medallist

rounded off a useful weekend with two more personal bests in Sheffield. The 28-year-old reached 1.80m in the high jump and clocked 8.47secs in the heats of the 60m hurdles. ""I've surprised myself,"" said Sotherton. ""I'm starting to thrive on the pressure but if I don't perform then it's not the end of the world."" Pole vaulter

made a winning return to major competition after a drugs ban. The Trafford athlete, who has served a two-year ban after testing positive for anabolic steroids, clinched the title with a championship record 4.25m.

also set a new championship mark in the men's triple jump title in Sheffield. The 26-year-old, who has been training in Australia over the winter, landed 17.30m with his final effort - the longest leap in the world this year. ""I didn't have a clue,"" said Idowu. ""I've not jumped indoors before and I just wanted the qualifying mark. ""But this isn't a bad start and hopefully I'll come back from Madrid with a gold medal."" Nathan Douglas continued his steady progress this season as he set a life-time best of 16.76m in second while Jonathan Moore took third.

and

resumed their rivalry in the long jump competition, both achieving the European standard. Commonwealth champion Morgan reached a personal best of 7.96m on his very first jump and then promptly retired with a bruised heel. Olympian Tomlinson tried to play catch up with his six jumps but had to settle for a season's best jump of 7.91m. ""I was advised not to jump by my doctor and so I'm pleased to come here and get the qualifying mark,"" said Tomlinson.

, now based at Loughborough, sprinted past front runner Catherine Murphy in the final 100m to steal the women's 400m title. The 21-year-old ran a personal best of 53.45 seconds to win her first indoor title. Wall's time was just short of the qualifying mark - something Murphy already has. Ireland's

took the men's title in 46.46 ahead of promising Channel Islands decathlete Dale Garland. Sudanese 18-year-old Rabah Yusuf, who is seeking British citizenship, showed his raw talent as he burst through in third.

cleared the required 1.90m to qualify for the European championships and claim the AAAs title in the women's high jump. In the men's 3,000m,

powered to a new personal best of seven minutes, 56.86 seconds to defend his AAAs title in style. It was the first time in 11 years the eight-minute barrier has been broken at the championships and was just within the European mark.

took the women's 1500m AAAs title in the absence of Kelly Holmes. Her time of 4:19.11 was not good enough to qualify for Madrid but Ovens had already opted out of the championships. The men's race was won by

, who had to fight off a closing pack to claim the title in 3:45.87.
",9
122,"Stars gear up for Bafta ceremony

Film stars from across the globe are preparing to walk the red carpet at this year's Bafta award ceremony.

The 2005 Orange British Academy Film Awards are being held at The Odeon in London's Leicester Square. A host of Hollywood stars, including Cate Blanchett, Leonardo DiCaprio, Keanu Reeves and Richard Gere, are expected to attend Saturday's ceremony. Hosted by Stephen Fry, the glittering ceremony will be broadcast on BBC One at 2010 GMT.

Other actors expected to add to the glamour of the biggest night in UK film are Gael Garcia Bernal, Imelda Staunton, Diane Kruger, Christian Slater, Anjelica Huston, Helen Mirren and former James Bond star Pierce Brosnan. Hollywood blockbuster The Aviator, starring DiCaprio, leads the field with 14 nominations, including best film.

It is up against Eternal Sunshine of the Spotless Mind, Finding Neverland, The Motorcycle Diaries and British film Vera Drake, which has 11 nominations. British hope Imelda Staunton is one of the favourites to land the best actress award for her gritty role as a backstreet abortionist in the small-budget film. Other nominees in the best actress category include Charlize Theron for Monster, Ziyi Zhang for House of Flying Daggers and UK star Kate Winslet, who has two nods for her roles in Eternal Sunshine of the Spotless Mind and Finding Neverland.

DiCaprio faces competition from Bernal, Jamie Foxx, Jim Carrey and Johnny Depp in the best actor category. And British actor Clive Owen is hoping to repeat his Golden Globe success with a best supporting actor award for his role in Closer. His co-star Natalie Portman is up against Blanchett, Heather Craney, Julie Cristie and Meryl Streep in the best supporting actress category. Mike Leigh is up for the best director award for Vera Drake, alongside Martin Scorsese for The Aviator, Michael Mann for Collateral, Michel Gondry for Eternal Sunshine of the Spotless Mind and Marc Forster for Finding Neverland.
",1
464,"Prisoners of War

What was the reality for prisoners of war in World War One? Dr Heather Jones looks beyond the propaganda to consider the facts around prisoner mistreatment, labour and death rates across Europe.
The image of prisoners behind barbed wire gazing at the camera taking their photograph is a striking one. Prisoners of war were central to the propaganda machine in the First World War, with belligerent states keen to circulate photographs that showed that they were treating their captives well. How a state treated its prisoners was taken as an indication of its level of cultural development and modernity – and all states accused their enemy of mistreating its prisoners.

Prisoner mistreatment
These accusations were not all propaganda stories. Although the majority of the estimated eight to nine million men taken prisoner during the First World War survived the conflict, during the war there were a number of serious episodes of prisoner mistreatment. In 1914, Germany captured far more prisoners of war than Britain or France. By 1915, Germany held over a million prisoners of war. Germany expected a short war and it was not prepared for these numerous soldiers captured on both Germany’s Eastern and Western Fronts. In 1914, prisoners of war transported to Germany from the Front often had to sleep in fields, where they suffered from exposure, while they waited for their camps to be built. The prisoners were also used as labour to build the camps.

In Germany, Austria-Hungary and Russia in 1915, prisoner of war camps were often unsanitary and that year a severe typhus epidemic broke out which cost the lives of thousands of prisoners. In Mauthausen camp in Austria-Hungary in January 1915, up to 186 prisoners a day died of typhus. Typhus also broke out in many camps in camps in the Russian empire: in winter 1915-16, typhus ravaged Totskoe camp where at least 10,000 men died out of 25,000. The typhus epidemic led to the development of better hygiene conditions in prisoner of war camps in Germany, with modern latrines, disinfection vats to remove lice from clothing and shower or bath houses built for the prisoners.

Reprisals also resulted in prisoner mistreatment. In 1916, Germany sent newly captured British and French prisoners to carry out forced labour on the Eastern Front in a reprisal action for the French sending German prisoners of war to camps in North Africa and the British using German prisoners as workers for the British army in France. These Eastern Front reprisals were horrific and many prisoners died of cold and starvation. In 1917, Germany kept British and French prisoners of war on the Western Front in dangerous locations, carrying out forced labour. This was a reprisal for the British and French using forced German prisoner labour on the Western Front: the French had forced German prisoners to work under shellfire for months on the Verdun battlefield. These reprisals marked a significant escalation in prisoner of war

Labour
The image of prisoners of war behind barbed wire in the prisoner of war camp was one of the most widespread images of the war. However, it was also rather misleading as by 1915 states and armies had started to think differently about how best to house and treat prisoners. The large prisoner of war camp on a country’s Home Front was only one place that prisoners were held. From 1915 on, Germany began to send prisoners to live and work in small working units in agriculture, forestry or mining – industries badly short of manpower due to the war effort. Russia and France also began to use prisoner labour on a massive scale: in Russia, working conditions varied very widely, with the worst occurring during the construction of the Murman railway during which an estimated 25,000 out of the 70,000 mainly Austro-Hungarian and German prisoner of war work force died. Britain, however, delayed using widespread prisoner labour on the home front until 1917 because of trade union opposition.

Prisoner labour was key to the war effort of many states. Overall by 1916, across Europe most non-officer prisoners of war, whom it was legal for the captor to put to work under international law, were working, some returning to the prisoner of war camp at night, others lodged under guard near to their place of work. For those housed outside the camp conditions could vary considerably. While prisoner of war camps were inspected during the war by the International Red Cross , working units outside the camp were rarely inspected. The worst camps, however, were those run by armies near the front line. By 1916, the British, French, German, Austro-Hungarian and Russian armies were all keeping permanent units of prisoners as forced labourers for the army at or near the front. These men had to work under shellfire and live in desolate, unhygienic conditions. In some armies, such as the German army in 1918, they were

Death rates
Death rates varied for different prisoner nationalities during the war: 100,000 of the 600,000 Italian prisoners captured by the Central Powers died. Romanian prisoners in German camps had a death rate of 29%. Serbs held by Austria-Hungary or British prisoners captured by the Ottoman Empire also had very high death rates. In contrast, German prisoners captured by Britain had death rates of 3%. While most prisoners survived the war, and camps in Western European countries were generally quite good, for certain nationalities captivity was more dangerous than serving at the front. The image of the well-run prisoner of war camp is thus not representative of the experience of all prisoners during the war.",4
205,"Not even the most optimistic of nutritionists thinks you'll never touch a piece of cake again. We may assume those who teach people to eat for a living would believe in the elimination of all junk food, but the reality is that even the pros know you'll cave sometimes. And that's okay. You just gotta have a plan.

""Eating is a rest-of-your-life thing,"" says Teresa Fung, a professor of nutrition at Simmons College. That means whatever your diet plan is, she and other nutritionists want you to be able to stick with it long-term. Unless you have god-level willpower, you're not going to be able to resist sugar forever—and in fact, nutritionists don't want you to. Fung explains that regardless of the diet you pick, if you go off of it once you've lost whatever weight you want to shed, you'll just end up gaining it back later and losing the benefit of dieting in the first place. It's far better for your long-term health to learn how to make better choices than it is to diet intermittently.

Here are a few tips that Fung recommends to eat healthily while still making room for your favorite cookies.",2
578,"According to a previous poster, one should seek a doctor's
assistance for injections. But what about Sumatriptin [sp?]?
Doesn't one have to inject oneself immediately upon the onset
of a migraine?
",5
308,"Some rendering programs require that all surface normals point in the same
direction.  (ie: On a closed cube, all normals point outwards).  You can use
the points on the faces to determine the direction of the normal, by making
sure that all points are either in clockwise or counter-clockwise order.
How do you go about orienting all normals in the same direction, given a 
set of points, edges and faces?   Say that you had a cube with all faces that 
have their normals facing outwards, except for one face.  What's the
best way to realize that face is ""flipped"", and should have it's points
re-ordered?   I thought I had a good way of telling this, but then realized
that the algorithm I had would only tell you if you had points in clockwise
order for a 2d polygon.  I'd like something for 3d data.
Any hints, tips, references would be appreciated.
Steve
Where humor is concerned there are no standards -- no one can say what is good 
or bad, although you can be sure that everyone will.  -- John Kenneth Galbraith
------- These opinions are my own.
",3
427,"The ‘Secret War’ in Laos
Laos is the most heavily-bombed country per capita in the world. The U.S. bombing of Laos (1964-1973) was part of a clandestine attempt by the CIA to wrest power from the Pathet Lao, a communist group allied with North Vietnam and the Soviet Union during the Vietnam War. Laos was critical to Dwight D. Eisenhower’s Domino Theory of keeping communism at bay, and presidents John F. Kennedy, Lyndon B. Johnson and Richard Nixon all escalated the bombings, which largely targeted North Vietnamese supply routes along the Ho Chi Minh Trail that stretched from Vietnam into Cambodia and Laos.
While the U.S. invasion and bombing of Cambodia drew international protests, The Secret War in Laos remains largely shrouded in secrecy even as it marked the beginning of a more militarized CIA that would go on to fight proxy wars in Latin America and the Middle East.",4
10,"Disaster claims 'less than $10bn'

Insurers have sought to calm fears that they face huge losses after an earthquake and giant waves killed at least 38,000 people in southern Asia.

Munich Re and Swiss Re, the world's two biggest reinsurers, have said exposure will be less than for other disasters. Rebuilding costs are likely to be cheaper than in developed countries, and many of those affected will not have insurance, analysts said. Swiss Re has said total claims are likely to be less than $10bn (£5.17bn). Swiss Re believes that the cost would be substantial but that it is unlikely to be in double-digit billions, the Financial Times reported. Munich Re, the world's largest reinsurance company, said that its exposure is less than 100m euros (£70m; $136m).

At least 10 countries have been affected, with Sri Lanka, Indonesia, India and Thailand among the worst hit. The region's resorts and Western tourists are expected to be among the main claimants.

Lloyds of London told the Financial Times it expected its exposure to be limited to ""holiday resorts, personal accident, travel insurance and marine risks"". A spokeswoman for Hanover Re, Europe's fifth-largest reinsurance firm, estimated tsunami-related damage claims would be in the low double-digit millions of euros. The company has paid out about 300 million euros (£281m; $400m) to cover damage caused recently by four major hurricanes in the US.

But insurers have not had long to assess the economic impact of the damage and reports of more casualties and destruction are still coming through.

""So many things are unclear, it is just too early to tell,"" said Serge Troeber, deputy head of Swiss Re's natural disasters department. ""You need very complicated processes to estimate damages. Unlike the hurricanes, you can't just run a model."" He anticipated that his own company's total claims would be less then those from the hurricanes, which the company put at $640m. Allianz, a leading German insurer, said it did not know yet what its exposure would be. However, it said the tidal waves were unlikely to have a ""significant"" impact on its business. Zurich Financial said they could not yet assess the cost of the disaster.

The impact on US insurance companies is not expected to be heavy, analysts said.

Most US insurers have relatively little exposure to Asia and those that do, pass on a lot of the risk to reinsurance companies or special catastrophe funds. Insured damage could be a fraction of the ""billions of dollars worth of destruction in Sri Lanka, India, Thailand, Indonesia, the Maldive Islands and Malaysia,"" said Prudential Equity Group insurance analyst Jay Gelb. ""US insurers are likely to have only minimal to no exposure. It's more likely the Bermuda-based reinsurance [companies] might have some exposure,"" said Paul Newsome, an insurance analyst at AG Edwards & Co.

Many of the affected countries, such as Indonesia, Sri Lanka or the Maldives, do not usually buy insurance for these kinds of disasters, said a US-based insurance expert. Early estimates from the World Bank put the amount of aid needed for the worst affected countries including Sri Lanka, India, Indonesia and Thailand, at about $5bn (£2.6bn), similar to the cash offered to Central America after Hurricane Mitch.

Mitch killed about 10,000 people and caused damage of about $10bn in 1998. But the cost of the tsunamis on the individuals involved is incalculable. ""We cannot fathom the cost of these poor societies and the nameless fishermen and fishing villages ... that have just been wiped out. Hundreds of thousands of livelihoods have gone,"" said Jan Egeland, head of the UN Office for the Coordination of Humanitarian Affairs. Tourists cutting short their holidays in affected areas may suffer a financial impact too. The Association of British insurers warned that travel insurance does not normally cover cutting short a holiday. It said loss of possessions will usually be covered, but the Association stressed the importance of checking the wording of travel policies.
",0
167,"Tarantino 'to make Friday sequel'

Director Quentin Tarantino is in talks to write and direct a new instalment in the Friday the 13th horror franchise, according to the Hollywood Reporter.

The film-maker will reportedly meet executives from New Line Cinema this week to discuss the 12th film in the long-running 'stalk and slash' series. The original film, released in 1980, has spawned ten sequels based around mask-wearing murderer Jason Voorhees. The most recent, Freddy Vs Jason, was released in summer 2003. That film saw Jason battle Freddy Krueger, star of the Nightmare on Elm Street franchise. According to the industry newspaper, New Line had been trying to make another sequel involving Ash, the hero of the Evil Dead movies, but was unable to agree terms with director Sam Raimi. Tarantino is said to be intrigued by the prospect of building a new film around one of the horror genre's most recognised figures. First, however, he is scheduled to direct the season finale of US television series CSI: Crime Scene Investigation. Filming is due to start in early April. Tarantino's episode, for which he also wrote the original story, will be broadcast in the US on 19 May.
",1
